id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-298482,2017-07-06,000001,Vente,59900,,,LAMAZERE,B022,40200,40278,Saint-Paul-en-Born,40,,,402780000A1651,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,812,-1.154391,44.226137
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0075,,,,,,,,,,,,,0,,,,,S,sols,,,20,-0.34255,43.808451
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0076,,,,,,,,,,,,,0,,,,,J,jardins,,,88,-0.342537,43.808424
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0077,,,,,,,,,,,,,0,,,,,S,sols,,,2,-0.342511,43.808463
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0079,,,,,,,,,,,,,0,,,,,J,jardins,,,11,-0.342321,43.808485
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0081,,,,,,,,,,,,,0,,,,,S,sols,,,10,-0.342099,43.808491
2017-298483,2017-07-04,000001,Vente,127700,34,,PL DE HOMBOURG,0125,40270,40070,Castandet,40,,,40070000ZD0082,,,,,,,,,,,,,0,1,Maison,156,7,S,sols,,,121,-0.342393,43.808389
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0083,,,,,,,,,,,,,0,,,,,J,jardins,,,975,-0.342416,43.808383
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0083,,,,,,,,,,,,,0,,,,,S,sols,,,245,-0.342416,43.808383
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0162,,,,,,,,,,,,,0,,,,,L,landes,,,84,-0.342633,43.808459
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0164,,,,,,,,,,,,,0,,,,,J,jardins,,,18,-0.342484,43.80849
2017-298483,2017-07-04,000001,Vente,127700,,,RONDEBOEUF,B074,40270,40070,Castandet,40,,,40070000ZD0166,,,,,,,,,,,,,0,,,,,S,sols,,,197,-0.342351,43.808494
2017-298484,2017-07-05,000001,Vente,106000,639,,AV LEON BLUM,0070,40400,40313,Tartas,40,,,403130000A1177,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,700,,
2017-298484,2017-07-05,000001,Vente,106000,,,QUARTIER NEUF,B117,40400,40313,Tartas,40,,,403130000A1178,,,,,,,,,,,,,0,,,,,S,sols,,,945,,
2017-298484,2017-07-05,000001,Vente,106000,,,QUARTIER NEUF,B117,40400,40313,Tartas,40,,,403130000A1453,,,,,,,,,,,,,0,,,,,S,sols,,,800,,
2017-298485,2017-07-07,000001,Vente,143760,1,,RUE DES HOURNAILS,0893,40200,40184,Mimizan,40,,,401840000G0126,,,88,33.23,,,,,,,,,1,4,Local industriel. commercial ou assimilé,44,0,,,,,,-1.284631,44.212308
2017-298486,2017-07-03,000001,Vente,1900,,,CANTE COUCUT,B037,40800,40001,Aire-sur-l'Adour,40,,,40001000AT0372,,,,,,,,,,,,,0,,,,,T,terres,,,3221,-0.232855,43.716173
2017-298486,2017-07-03,000001,Vente,1900,,,CANTE COUCUT,B037,40800,40001,Aire-sur-l'Adour,40,,,40001000AT0375,,,,,,,,,,,,,0,,,,,T,terres,,,4124,-0.232213,43.716579
2017-298486,2017-07-03,000001,Vente,1900,,,CANTE COUCUT,B037,40800,40001,Aire-sur-l'Adour,40,,,40001000AT0376,,,,,,,,,,,,,0,,,,,T,terres,,,551,-0.232349,43.716334
2017-298486,2017-07-03,000001,Vente,1900,,,CHICAS,B053,40800,40001,Aire-sur-l'Adour,40,,,40001000BX0204,,,,,,,,,,,,,0,,,,,PA,pâtures,PATUR,Pâture plantée,86,-0.260836,43.7232
2017-298486,2017-07-03,000001,Vente,1900,,,CHICAS,B053,40800,40001,Aire-sur-l'Adour,40,,,40001000BX0206,,,,,,,,,,,,,0,,,,,T,terres,,,225,-0.257267,43.723307
2017-298487,2017-07-06,000001,Vente,17255,2,,ALL DE LA PALIQUE,0433,40210,40094,Escource,40,,,400940000N0302,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,495,-1.036902,44.158873
2017-298488,2017-07-04,000001,Vente,86000,,,CHAMP DE DOY,B014,40160,40108,Gastes,40,,,401080000C1088,,,,,,,,,,,,,0,,,,,T,terres,,,2928,,
2017-298488,2017-07-04,000001,Vente,86000,,,CHAMP DE DOY,B014,40160,40108,Gastes,40,,,401080000C1098,,,,,,,,,,,,,0,,,,,T,terres,,,634,,
2017-298489,2017-07-04,000001,Vente,207000,87,,RUE SENT BERTOMIU,1415,40160,40217,Parentis-en-Born,40,,,40217000AE1992,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,474,-1.058869,44.352393
2017-298490,2017-07-05,000001,Vente,160000,,,BOUNEOU,B007,40200,40257,Sainte-Eulalie-en-Born,40,,,402570000B1075,,,,,,,,,,,,,0,,,,,S,sols,,,200,-1.187095,44.2843
2017-298490,2017-07-05,000001,Vente,160000,,,BOUNEOU,B007,40200,40257,Sainte-Eulalie-en-Born,40,,,402570000B1075,,,,,,,,,,,,,0,,,,,L,landes,AIRE,Aire ou airial,3173,-1.187095,44.2843
2017-298490,2017-07-05,000001,Vente,160000,751,,RTE DE PARENTIS,0430,40200,40257,Sainte-Eulalie-en-Born,40,,,402570000B1077,,,,,,,,,,,,,0,1,Maison,90,5,S,sols,,,233,-1.187246,44.284422
2017-298490,2017-07-05,000001,Vente,160000,,,BOUNEOU,B007,40200,40257,Sainte-Eulalie-en-Born,40,,,402570000B1078,,,,,,,,,,,,,0,,,,,T,terres,,,1554,-1.187202,44.284605
2017-298490,2017-07-05,000001,Vente,160000,,,BOUNEOU,B007,40200,40257,Sainte-Eulalie-en-Born,40,,,402570000B1081,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,436,-1.187537,44.284225
2017-298491,2017-07-05,000001,Vente,167250,300,,RUE DES BIENVENUS,0053,40500,40195,Montgaillard,40,,,401950000J0804,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,1160,-0.483243,43.745
2017-298492,2017-07-10,000001,Vente,120000,601,,RUE DU PIGNADA,0920,40465,40230,Pontonx-sur-l'Adour,40,,,40230000AC0014,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,980,-0.913327,43.800688
2017-298493,2017-07-06,000001,Vente,2000,,,LE BOURG,B020,40465,40230,Pontonx-sur-l'Adour,40,,,40230000AH0098,,,,,,,,,,,,,0,,,,,J,jardins,,,194,-0.922329,43.787463
2017-298494,2017-07-07,000001,Vente,31500,,,POURQUE,B145,40250,40309,Souprosse,40,,,403090000V0511,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,696,-0.702624,43.785
2017-298495,2017-07-03,000001,Vente,317000,45,,RUE DU PETIT DE L ESCLOUPE,0245,40280,40055,Bretagne-de-Marsan,40,,,40055000AH0141,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,1065,-0.460148,43.827462
2017-298496,2017-07-03,000001,Vente,323000,908,,AV ELOI DUCOM,0769,40000,40192,Mont-de-Marsan,40,,,40192000AL0160,,,,,,,,,,,,,0,1,Maison,230,8,S,sols,,,1232,-0.485598,43.890813
2017-298496,2017-07-03,000001,Vente,323000,908,,AV ELOI DUCOM,0769,40000,40192,Mont-de-Marsan,40,,,40192000AL0303,,,,,,,,,,,,,0,,,,,L,landes,,,160,-0.485591,43.890635
2017-298497,2017-07-03,000001,Vente,190000,208,,IMP PAROPY,0697,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AC1651,,,,,,,,,,,,,0,,,,,S,sols,,,82,-0.510457,43.881468
2017-298497,2017-07-03,000001,Vente,190000,207,,IMP PAROPY,0697,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AC1653,,,,,,,,,,,,,0,1,Maison,117,4,S,sols,,,557,-0.510313,43.881443
2017-298498,2017-07-06,000001,Vente,189600,1,,LOT DE PEGUIRAOUT,A010,40250,40177,Maylis,40,,,401770000A1150,,,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,700,-0.68386,43.691847
2017-298498,2017-07-06,000001,Vente,189600,1,,LOT DE PEGUIRAOUT,A010,40250,40177,Maylis,40,,,401770000A1150,,,,,,,,,,,,,0,1,Maison,90,4,AG,terrains d'agrément,,,1577,-0.68386,43.691847
2017-298499,2017-07-05,000001,Vente,140760,,,CHE DE POUGA,1580,40700,40119,Hagetmau,40,,,40119000AT0215,,,,,,,,,,,,,0,,,,,T,terres,,,7206,-0.611205,43.636376
2017-298499,2017-07-05,000001,Vente,140760,,,POUGA,B122,40700,40119,Hagetmau,40,,,40119000AT0217,,,,,,,,,,,,,0,,,,,T,terres,,,456,-0.611174,43.635897
2017-298499,2017-07-05,000001,Vente,140760,,,SOURT,B131,40700,40119,Hagetmau,40,,,40119000AT0221,,,,,,,,,,,,,0,,,,,T,terres,,,158,-0.610899,43.636733
2017-298500,2017-07-04,000001,Vente,54,,,BARROUILLET,B007,40700,40232,Poudenx,40,,,402320000A0458,,,,,,,,,,,,,0,,,,,J,jardins,,,1067,,
2017-298501,2017-07-07,000001,Vente,94996,142,,AV LEOPOLD DARMUZEY,0980,40160,40217,Parentis-en-Born,40,,,40217000AB1003,,,21,41.12,,,,,,,,,1,2,Appartement,41,2,,,,,,-1.069988,44.34916
2017-298502,2017-07-03,000001,Vente,39000,8,,RUE ARMAND DULAMON,0110,40000,40192,Mont-de-Marsan,40,,,40192000AB0840,,,1,37.16,,,,,,,,,1,2,Appartement,28,1,,,,,,-0.502368,43.89308
2017-298503,2017-07-03,000001,Vente,250000,7,,IMP HENRI CABANNES,1066,40000,40192,Mont-de-Marsan,40,,,40192000BN2356,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,714,-0.473033,43.886476
2017-298504,2017-07-06,000001,Vente,17500,6,,ALL DE LA PALIQUE,0433,40210,40094,Escource,40,,,400940000N0300,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,502,-1.036501,44.159015
2017-298505,2017-07-04,000001,Vente,124000,653,,RTE DE JEAN PETIT,0145,40090,40111,Geloux,40,,,40111000AH0771,,,,,,,,,,,,,0,1,Maison,60,2,S,sols,,,1275,-0.638008,43.975664
2017-298506,2017-07-05,000001,Vente,262000,1593,,CHE DE THORE,2260,40000,40192,Mont-de-Marsan,40,,,40192000AW0304,,,,,,,,,,,,,0,1,Maison,128,5,S,sols,,,783,-0.526119,43.894458
2017-298506,2017-07-05,000001,Vente,262000,1593,,CHE DE THORE,2260,40000,40192,Mont-de-Marsan,40,,,40192000AW0304,,,,,,,,,,,,,0,1,Maison,128,5,AG,terrains d'agrément,,,1166,-0.526119,43.894458
2017-298507,2017-07-06,000001,Vente,25000,801,,RTE D ESCOURCE,0710,40200,40184,Mimizan,40,,,401840000O0020,,,,,,,,,,,,,0,1,Maison,18,0,PA,pâtures,PATUR,Pâture plantée,1189,-1.18167,44.182694
2017-298507,2017-07-06,000001,Vente,25000,801,,RTE D ESCOURCE,0710,40200,40184,Mimizan,40,,,401840000O0020,,,,,,,,,,,,,0,1,Maison,18,0,PA,pâtures,PATUR,Pâture plantée,1189,-1.18167,44.182694
2017-298507,2017-07-06,000001,Vente,25000,801,,RTE D ESCOURCE,0710,40200,40184,Mimizan,40,,,401840000O0020,,,,,,,,,,,,,0,1,Maison,18,0,PA,pâtures,PATUR,Pâture plantée,1189,-1.18167,44.182694
2017-298507,2017-07-06,000001,Vente,25000,801,,RTE D ESCOURCE,0710,40200,40184,Mimizan,40,,,401840000O0020,,,,,,,,,,,,,0,1,Maison,18,0,PA,pâtures,PATUR,Pâture plantée,1189,-1.18167,44.182694
2017-298507,2017-07-06,000001,Vente,25000,,,LA LANDE,B054,40200,40184,Mimizan,40,,,401840000O0022,,,,,,,,,,,,,0,,,,,L,landes,MARAI,Pré marais,1100,-1.181135,44.183045
2017-298507,2017-07-06,000001,Vente,25000,,,LA LANDE,B054,40200,40184,Mimizan,40,,,401840000O0022,,,,,,,,,,,,,0,,,,,B,bois,,,7383,-1.181135,44.183045
2017-298508,2017-07-05,000001,Vente,14500,,,CHINANEOU,B012,40090,40320,Uchacq-et-Parentis,40,,,40320000AL0188,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,16799,-0.550733,43.916094
2017-298508,2017-07-05,000001,Vente,14500,,,CHINANEOU,B012,40090,40320,Uchacq-et-Parentis,40,,,40320000AL0275,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,25291,-0.551757,43.915125
2017-298508,2017-07-05,000001,Vente,14500,,,CHINANEOU,B012,40090,40320,Uchacq-et-Parentis,40,,,40320000AL0509,,,,,,,,,,,,,0,,,,,S,sols,,,585,-0.554008,43.914571
2017-298509,2017-07-06,000001,Vente,330000,656,,AV DU MARECHAL FOCH,1405,40000,40192,Mont-de-Marsan,40,,,40192000AI0039,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.490075,43.896477
2017-298509,2017-07-06,000001,Vente,330000,9005,,AV PASTEUR,1640,40000,40192,Mont-de-Marsan,40,,,40192000AI0043,,,,,,,,,,,,,0,1,Maison,149,6,S,sols,,,570,-0.489722,43.896632
2017-298510,2017-07-10,000001,Vente,210400,612,,RTE DU PAS DE BILLON,0400,40120,40058,Cachen,40,,,400580000F0027,,,,,,,,,,,,,0,1,Maison,160,5,S,sols,,,1020,-0.41582,44.076269
2017-298510,2017-07-10,000001,Vente,210400,,,SIMON,B098,40120,40058,Cachen,40,,,400580000F0410,,,,,,,,,,,,,0,,,,,L,landes,AIRE,Aire ou airial,1397,-0.41599,44.076167
2017-298511,2017-07-04,000001,Vente,240000,8,,RUE SANTOS DUMONT,2184,40000,40192,Mont-de-Marsan,40,,,40192000BN0313,,,,,,,,,,,,,0,1,Maison,186,7,S,sols,,,1231,-0.476206,43.879359
2017-298512,2017-07-03,000001,Vente,72600,286,,RTE DES PYRENEES,0400,40270,40080,Cazères-sur-l'Adour,40,,,40080000ZB0022,,,,,,,,,,,,,0,1,Maison,96,5,S,sols,,,1723,-0.303819,43.755988
2017-298513,2017-07-06,000001,Vente,289000,455,,AV DU MARSAN,0074,40090,40081,Cère,40,,,40081000AC0053,,,,,,,,,,,,,0,1,Maison,118,4,S,sols,,,1961,-0.529825,43.987797
2017-298514,2017-07-11,000001,Vente,125000,29,,RUE FREDERIC BASTIAT,0840,40000,40192,Mont-de-Marsan,40,,,40192000AB0551,,,2,79.65,,,,,,,,,1,1,Maison,88,3,,,,,,-0.502842,43.889806
2017-298515,2017-07-07,000001,Vente,150000,88,,RTE DE SIOUGOS,0275,40090,40061,Campagne,40,,,40061000AB0299,,,,,,,,,,,,,0,1,Maison,76,5,S,sols,,,1183,-0.641603,43.868703
2017-298515,2017-07-07,000001,Vente,150000,,,DOMINGUE,B025,40090,40061,Campagne,40,,,40061000AB0333,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,448,-0.641649,43.868463
2017-298515,2017-07-07,000001,Vente,150000,,,DOMINGUE,B025,40090,40061,Campagne,40,,,40061000AB0335,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,336,-0.641465,43.868445
2017-298516,2017-07-10,000001,Vente,305500,596,,AV DES MATOLES,0585,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AD0753,,,,,,,,,,,,,0,1,Maison,124,5,S,sols,,,825,-0.486163,43.87676
2017-298517,2017-07-10,000001,Vente,90000,96,,CHE DES PINS,0203,40190,40127,Hontanx,40,,,401270000G0538,,,,,,,,,,,,,0,1,Maison,70,3,J,jardins,,,876,-0.274182,43.8218
2017-298517,2017-07-10,000001,Vente,90000,96,,CHE DES PINS,0203,40190,40127,Hontanx,40,,,401270000G0538,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,1125,-0.274182,43.8218
2017-298518,2017-07-10,000001,Vente,180000,4,,RUE ARMAND GRANDEUR,0104,40000,40192,Mont-de-Marsan,40,,,40192000BN1588,,,,,,,,,,,,,0,1,Maison,93,4,S,sols,,,593,-0.472917,43.883244
2017-298519,2017-07-10,000001,Vente,135500,9,,AV AMBROISE PARE,0072,40000,40192,Mont-de-Marsan,40,,,40192000BN0739,,,,,,,,,,,,,0,1,Maison,80,5,S,sols,,,627,-0.466242,43.883859
2017-298520,2017-07-10,000001,Vente,138000,11,,RUE DES ECUREUILS,0765,40000,40192,Mont-de-Marsan,40,,,40192000BC0091,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,539,-0.515968,43.90048
2017-298521,2017-07-07,000001,Vente,275000,2831,,CHE DE MENASSE,0608,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AN0559,,,,,,,,,,,,,0,1,Maison,131,6,S,sols,,,792,-0.549668,43.869137
2017-298521,2017-07-07,000001,Vente,275000,2831,,CHE DE MENASSE,0608,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AN0561,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,713,-0.549462,43.869034
2017-298522,2017-07-07,000001,Vente,258000,5,,RUE DES COURLIS,0300,40280,40281,Saint-Pierre-du-Mont,40,,,40281000AD0043,,,,,,,,,,,,,0,1,Maison,106,5,S,sols,,,900,-0.493083,43.879487
2017-298523,2017-07-06,000001,Vente,160000,2,,IMP DU LANOT,0190,40280,40037,Benquet,40,,,400370000K0495,,,,,,,,,,,,,0,1,Maison,112,5,S,sols,,,1566,,
2017-298523,2017-07-06,000001,Vente,160000,2,,IMP DU LANOT,0190,40280,40037,Benquet,40,,,400370000K0495,,,,,,,,,,,,,0,1,Maison,112,5,AG,terrains d'agrément,,,1000,,
2017-298524,2017-07-05,000001,Vente,175000,7,,RUE DU CDT HURLIN,0540,40000,40192,Mont-de-Marsan,40,,,40192000AC0210,,,,,,,,,,,,,0,1,Maison,128,5,S,sols,,,980,-0.502566,43.897979
2017-298525,2017-07-17,000001,Vente,200,,,LESTAGE,B151,40370,40243,Rion-des-Landes,40,,,402430480B1017,,,,,,,,,,,,,0,,,,,S,sols,,,155,-0.965785,43.889436
2017-298525,2017-07-17,000001,Vente,200,,,LESTAGE,B151,40370,40243,Rion-des-Landes,40,,,402430480B1019,,,,,,,,,,,,,0,,,,,S,sols,,,14,-0.965687,43.88981
2017-298525,2017-07-17,000001,Vente,200,,,LESTAGE,B151,40370,40243,Rion-des-Landes,40,,,402430480B1021,,,,,,,,,,,,,0,,,,,S,sols,,,71,-0.965725,43.889671
2017-298526,2017-07-17,000001,Vente,30000,,,MAUMIGNON,B059,40400,40180,Meilhan,40,,,40180000ZA0114,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,2037,-0.722351,43.858754
2017-298527,2017-07-17,000001,Vente,39000,,,LE BOURG,B005,40465,40142,Laluque,40,,,401420000F1139,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,825,-0.996629,43.853425
2017-298528,2017-07-03,000001,Vente,394000,162,,ALL DU BOIS DE LARRAT,0408,40460,40287,Sanguinet,40,,,40287000BI0045,,,,,,,,,,,,,0,1,Maison,142,5,S,sols,,,864,-1.07568,44.501259
2017-298529,2017-07-12,000001,Vente,111643,387,,RUE DES MULETIERS,1320,40600,40046,Biscarrosse,40,,,40046000AL0103,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.152569,44.393242
2017-298529,2017-07-12,000001,Vente,111643,387,,RUE DES MULETIERS,1320,40600,40046,Biscarrosse,40,,,40046000AL0103,,,36,,,,,,,,,,1,2,Appartement,71,3,,,,,,-1.152569,44.393242
2017-298530,2017-07-13,000001,Vente,132000,,,LE BOURG,B006,40400,40180,Meilhan,40,,,401800000G0290,,,,,,,,,,,,,0,,,,,S,sols,,,247,-0.702999,43.86262
2017-298530,2017-07-13,000001,Vente,132000,,,LE BOURG,B006,40400,40180,Meilhan,40,,,401800000G0501,,,,,,,,,,,,,0,,,,,S,sols,,,228,-0.703169,43.862331
2017-298530,2017-07-13,000001,Vente,132000,,,LE BOURG,B006,40400,40180,Meilhan,40,,,401800000G0502,,,,,,,,,,,,,0,,,,,S,sols,,,12,-0.70298,43.862773
2017-298530,2017-07-13,000001,Vente,132000,184,,RUE DU TROUILH,0420,40400,40180,Meilhan,40,,,401800000G0562,,,,,,,,,,,,,0,1,Maison,75,4,S,sols,,,595,-0.703356,43.862426
2017-298531,2017-07-18,000001,Vente,205000,9,,CHE DE L'ARC EN CIEL,0057,40200,40184,Mimizan,40,,,401840000S0080,,,,,,,,,,,,,0,1,Maison,119,4,S,sols,,,672,-1.245025,44.195473
2017-298532,2017-07-19,000001,Vente,55000,,,ANDRILLE,B001,40200,40019,Aureilhan,40,,,40019000AC0057,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,804,-1.203477,44.217457
2017-298533,2017-07-04,000002,Vente,40000,,,LE TROUILH,B069,40210,40134,Labouheyre,40,,,401340000H3042,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1972,-0.923278,44.21217
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0043,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,31158,-0.477171,44.020308
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0043,,,,,,,,,,,,,0,,,,,B,bois,,,538,-0.477171,44.020308
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0043,,,,,,,,,,,,,0,,,,,B,bois,,,5992,-0.477171,44.020308
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0043,,,,,,,,,,,,,0,,,,,L,landes,,,2312,-0.477171,44.020308
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0044,,,,,,,,,,,,,0,,,,,B,bois,,,3500,-0.480311,44.021501
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0044,,,,,,,,,,,,,0,,,,,B,bois,,,18900,-0.480311,44.021501
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0044,,,,,,,,,,,,,0,,,,,B,bois,,,2100,-0.480311,44.021501
2017-298534,2017-07-05,000001,Vente,60000,,,LA LANDE,B005,40090,40064,Canenx-et-Réaut,40,,,400640000A0044,,,,,,,,,,,,,0,,,,,B,bois,,,16640,-0.480311,44.021501
2017-298534,2017-07-05,000001,Vente,60000,,,MATALIN,B006,40090,40064,Canenx-et-Réaut,40,,,400640000A0117,,,,,,,,,,,,,0,,,,,B,bois,,,825,-0.456594,44.012066
